HCP_ID,HCP_Name,Province,Specialty,Facility_ID,HCP_Type,Practice_Setting,Years_in_Practice
HCP_0001,Hassan Rath,Newfoundland and Labrador,Internal Medicine,FAC_NL_ACAD_001,Physician,Academic/Teaching Hospital,33
HCP_0002,Crissy O'Connell,Newfoundland and Labrador,Internal Medicine,FAC_NL_HOSP_001,Physician,Hospital,6
HCP_0003,Alia Adams,Newfoundland and Labrador,Internal Medicine,FAC_NL_CLIN_001,Physician,Community Clinic,8
HCP_0004,Lavinia Douglas,Newfoundland and Labrador,Internal Medicine,FAC_NL_CLIN_001,Physician,Community Clinic,22
HCP_0005,Carmelina Wisozk,Newfoundland and Labrador,Internal Medicine,FAC_NL_ACAD_001,Physician,Academic/Teaching Hospital,22
HCP_0006,Noe Gutkowski,Newfoundland and Labrador,Cardiology,FAC_NL_HOSP_001,Physician,Hospital,28
HCP_0007,Malinda Cassin,Newfoundland and Labrador,Gastroenterology,FAC_NL_CLIN_001,Physician,Community Clinic,33
HCP_0008,Augustine Fisher,Newfoundland and Labrador,Neurology,FAC_NL_HOSP_001,Physician,Hospital,29
HCP_0009,Donita Ward,Newfoundland and Labrador,Psychiatry,FAC_NL_ACAD_001,Physician,Academic/Teaching Hospital,5
HCP_0010,Veda Pfeffer,Newfoundland and Labrador,Psychiatry,FAC_NL_PRIV_001,Physician,Private Practice,11
HCP_0011,Buster Ferry,Newfoundland and Labrador,Psychiatry,FAC_NL_CLIN_001,Physician,Community Clinic,32
HCP_0012,Thandi Mokoena,Newfoundland and Labrador,Psychiatry,FAC_NL_CLIN_001,Physician,Community Clinic,20
HCP_0013,Joan Trantow,Newfoundland and Labrador,Psychiatry,FAC_NL_HOSP_001,Physician,Hospital,31
HCP_0014,Yasmine Boehm,Newfoundland and Labrador,Psychiatry,FAC_NL_ACAD_001,Physician,Academic/Teaching Hospital,20
HCP_0015,Thad Osinski,Newfoundland and Labrador,Pediatrics,FAC_NL_PRIV_002,Physician,Private Practice,2
HCP_0016,Dena Rau,Newfoundland and Labrador,Pediatrics,FAC_NL_CLIN_002,Physician,Community Clinic,17
HCP_0017,Mario Guerra,Newfoundland and Labrador,Pediatrics,FAC_NL_CLIN_002,Physician,Community Clinic,29
HCP_0018,Mohammed Parisian,Newfoundland and Labrador,Pediatrics,FAC_NL_PRIV_001,Physician,Private Practice,23
HCP_0019,Albertina Skiles,Newfoundland and Labrador,Dermatology,FAC_NL_PRIV_001,Physician,Private Practice,5
HCP_0020,Ezequiel Hoeger,Newfoundland and Labrador,General Surgery,FAC_NL_CLIN_001,Physician,Community Clinic,8
HCP_0021,Tu Witting,Newfoundland and Labrador,General Surgery,FAC_NL_CLIN_002,Physician,Community Clinic,30
HCP_0022,Pamala Collier,Newfoundland and Labrador,General Surgery,FAC_NL_PRIV_001,Physician,Private Practice,35
HCP_0023,Kasi Hickle,Newfoundland and Labrador,General Surgery,FAC_NL_PRIV_002,Physician,Private Practice,27
HCP_0024,Kavita Rao,Newfoundland and Labrador,General Surgery,FAC_NL_PRIV_001,Physician,Private Practice,4
HCP_0025,Rosalind Kutch,Newfoundland and Labrador,Urology,FAC_NL_HOSP_001,Physician,Hospital,22
HCP_0026,Darcey Miller,Newfoundland and Labrador,Orthopedic Surgery,FAC_NL_CLIN_002,Physician,Community Clinic,30
HCP_0027,Lai Friesen,Newfoundland and Labrador,Orthopedic Surgery,FAC_NL_PRIV_001,Physician,Private Practice,23
HCP_0028,Ines Weber,Newfoundland and Labrador,Ophthalmology,FAC_NL_ACAD_001,Physician,Academic/Teaching Hospital,21
HCP_0029,Kathyrn Weimann,Newfoundland and Labrador,Obstetrics/Gynecology,FAC_NL_PRIV_001,Physician,Private Practice,17
HCP_0030,Jackeline Schmitt,Newfoundland and Labrador,Obstetrics/Gynecology,FAC_NL_CLIN_002,Physician,Community Clinic,9
HCP_0031,Ezequiel Hoeger,Newfoundland and Labrador,Obstetrics/Gynecology,FAC_NL_PRIV_001,Physician,Private Practice,10
HCP_0032,Raye Wyman,Newfoundland and Labrador,Obstetrics/Gynecology,FAC_NL_HOSP_001,Physician,Hospital,27
HCP_0033,Veda Pfeffer,Prince Edward Island,Internal Medicine,FAC_PE_HOSP_001,Physician,Hospital,3
HCP_0034,Rory Kuvalis,Prince Edward Island,Psychiatry,FAC_PE_PRIV_001,Physician,Private Practice,3
HCP_0035,Santina Klocko,Prince Edward Island,Pediatrics,FAC_PE_ACAD_001,Physician,Academic/Teaching Hospital,14
HCP_0036,Mari Reynolds,Prince Edward Island,General Surgery,FAC_PE_ACAD_001,Physician,Academic/Teaching Hospital,28
HCP_0037,Noe Gutkowski,Prince Edward Island,Orthopedic Surgery,FAC_PE_PRIV_001,Physician,Private Practice,23
HCP_0038,Parker Grady,Prince Edward Island,Obstetrics/Gynecology,FAC_PE_HOSP_001,Physician,Hospital,21
HCP_0039,Chere Greenfelder,Nova Scotia,Internal Medicine,FAC_NS_ACAD_002,Physician,Academic/Teaching Hospital,19
HCP_0040,Darrel Lang,Nova Scotia,Internal Medicine,FAC_NS_CLIN_001,Physician,Community Clinic,4
HCP_0041,Edie Howell,Nova Scotia,Internal Medicine,FAC_NS_CLIN_003,Physician,Community Clinic,12
HCP_0042,Yasmine Boehm,Nova Scotia,Internal Medicine,FAC_NS_ACAD_001,Physician,Academic/Teaching Hospital,3
HCP_0043,Dahlia Renner,Nova Scotia,Internal Medicine,FAC_NS_PRIV_003,Physician,Private Practice,27
HCP_0044,Aurelio Nicolas,Nova Scotia,Internal Medicine,FAC_NS_PRIV_003,Physician,Private Practice,27
HCP_0045,Houston Osinski,Nova Scotia,Internal Medicine,FAC_NS_CLIN_001,Physician,Community Clinic,10
HCP_0046,Hana Kobayashi,Nova Scotia,Cardiology,FAC_NS_ACAD_001,Physician,Academic/Teaching Hospital,11
HCP_0047,Curtis Hamill,Nova Scotia,Cardiology,FAC_NS_CLIN_001,Physician,Community Clinic,12
HCP_0048,Katherina Frami,Nova Scotia,Cardiology,FAC_NS_PRIV_003,Physician,Private Practice,32
HCP_0049,Indira Willms,Nova Scotia,Cardiology,FAC_NS_ACAD_001,Physician,Academic/Teaching Hospital,18
HCP_0050,Rosalind Kutch,Nova Scotia,Gastroenterology,FAC_NS_PRIV_001,Physician,Private Practice,27
HCP_0051,Yasmine Boehm,Nova Scotia,Gastroenterology,FAC_NS_HOSP_002,Physician,Hospital,16
HCP_0052,Rivka Sanford,Nova Scotia,Neurology,FAC_NS_CLIN_003,Physician,Community Clinic,25
HCP_0053,Micheal Deckow,Nova Scotia,Neurology,FAC_NS_CLIN_002,Physician,Community Clinic,19
